ticket_id,customer_id,subject,body,created_at,closed_at,status,priority,category,subcategory,system,channel
TKT-10058,EMP-976,MFA Failure reported on ATM Switch,Everybody operation set others wonder strategy fast guess few remain call animal.,2023-03-26 00:51:03,2023-03-26 03:36:31.829141,Closed,Low,Access,MFA Failure,ATM Switch,Phone
TKT-10059,EMP-550,Data Sync Error reported on Core Banking (T24),Factor want point sell bill activity expect long future whole education technology box.,2023-01-22 04:13:09,2023-01-23 21:57:03.079283,Closed,Critical,Software,Data Sync Error,Core Banking (T24),Phone
TKT-10060,EMP-741,Server Overheat reported on Treasury System,Man officer rather charge specific we be easy newspaper indicate other.,2023-01-26 09:02:41,2023-01-26 16:19:40.689094,Closed,High,Hardware,Server Overheat,Treasury System,Phone
TKT-10061,EMP-129,Packet Loss reported on Mobile Banking App,Simply herself training father open investment notice art.,2023-08-29 04:04:36,2023-08-29 07:23:26.413111,Closed,High,Network,Packet Loss,Mobile Banking App,Phone
TKT-10062,EMP-337,Switch Port Error reported on Mobile Banking App,Way debate decision produce church community avoid.,2023-10-15 10:07:56,2023-10-15 21:34:29.538793,Closed,Low,Hardware,Switch Port Error,Mobile Banking App,Service Portal
TKT-10063,EMP-806,MFA Failure reported on Core Banking (T24),Late order fact discuss religious reflect law reach under skin person.,2023-01-02 00:56:22,2023-01-02 05:30:01.589201,Closed,High,Access,MFA Failure,Core Banking (T24),Email
TKT-10064,EMP-720,App Crash reported on HR Portal,Interesting name positive training step author coach film.,2023-09-14 18:40:21,2023-09-14 20:15:19.906259,Closed,High,Software,App Crash,HR Portal,Service Portal
TKT-10065,EMP-693,Packet Loss reported on HR Portal,Tv keep light fight I evening music just our threat same page ago.,2023-10-18 20:47:30,2023-10-21 05:21:47.831395,Closed,Low,Network,Packet Loss,HR Portal,Phone
TKT-10066,EMP-268,Firewall Block reported on Mobile Banking App,Onto again share start office several compare million kind everything young job sport.,2023-03-30 21:43:48,2023-03-30 22:25:02.406054,Closed,High,Network,Firewall Block,Mobile Banking App,Email
TKT-10067,EMP-114,Packet Loss reported on Mobile Banking App,Girl four prove tax form really explain war spend nearly lawyer fire.,2023-02-05 10:26:27,2023-02-08 22:25:49.665854,Closed,Low,Network,Packet Loss,Mobile Banking App,Service Portal
TKT-10068,EMP-164,Password Reset reported on ATM Switch,Wife identify method write price my including.,2023-05-06 13:07:48,2023-05-07 15:52:44.292096,Closed,Medium,Access,Password Reset,ATM Switch,Phone
TKT-10069,EMP-497,Account Locked reported on ATM Switch,Gun series personal service data near until just recognize building win participant.,2023-03-14 20:23:45,2023-03-15 16:20:15.823377,Closed,Medium,Access,Account Locked,ATM Switch,Automated Alert
TKT-10070,EMP-555,Firewall Block reported on Core Banking (T24),Financial add impact different success box water positive.,2023-11-25 05:36:12,,Open,High,Network,Firewall Block,Core Banking (T24),Email
TKT-10071,EMP-151,Unhandled Exception reported on Core Banking (T24),Usually factor relate indeed lot line lead certain course out second carry.,2023-03-01 19:06:53,2023-03-04 05:35:30.934560,Closed,Low,Software,Unhandled Exception,Core Banking (T24),Phone
TKT-10072,EMP-233,Disk Failure reported on Core Banking (T24),Significant take future skin environment able rise study oil.,2023-01-28 02:40:37,2023-01-28 08:55:36.157487,Closed,High,Hardware,Disk Failure,Core Banking (T24),Email
TKT-10073,EMP-559,App Crash reported on Core Banking (T24),Tend land machine forward several help usually thank wonder draw him task.,2023-09-14 07:05:37,2023-09-15 04:49:18.844620,Closed,Medium,Software,App Crash,Core Banking (T24),Email
TKT-10074,EMP-511,Password Reset reported on ATM Switch,Fish list tree high write society.,2023-06-09 12:42:05,2023-06-09 23:27:06.327257,Closed,Low,Access,Password Reset,ATM Switch,Email
TKT-10075,EMP-711,Server Overheat reported on Internet Banking Portal,Manager already maybe opportunity thank them key.,2023-09-11 05:15:27,2023-09-12 02:29:38.638764,Closed,Medium,Hardware,Server Overheat,Internet Banking Portal,Phone
TKT-10076,EMP-537,Password Reset reported on Email Server (Exchange),Address century that wide avoid sit enter perhaps however bag forget.,2023-07-24 06:13:09,2023-07-24 13:00:47.116688,Closed,Low,Access,Password Reset,Email Server (Exchange),Email
TKT-10077,EMP-675,Password Reset reported on Mobile Banking App,Here first responsibility service their along attention piece TV young section its.,2023-09-19 21:28:02,2023-09-20 05:56:11.045190,Closed,Medium,Access,Password Reset,Mobile Banking App,Service Portal
TKT-10078,EMP-210,VPN Drop reported on Core Banking (T24),Kitchen really tough animal someone fall hear.,2023-02-08 05:33:23,2023-02-09 04:51:02.152870,Closed,Medium,Network,VPN Drop,Core Banking (T24),Automated Alert
TKT-10079,EMP-949,Firewall Block reported on Mobile Banking App,Most not society color bad that people drive tree.,2023-02-26 12:48:31,2023-03-03 06:41:31.769946,Closed,Low,Network,Firewall Block,Mobile Banking App,Service Portal
TKT-10080,EMP-131,Permission Denied reported on Mobile Banking App,Leave effect effort act source top quality citizen.,2023-02-25 13:57:13,2023-02-26 07:13:39.342516,Closed,Medium,Access,Permission Denied,Mobile Banking App,Phone
TKT-10081,EMP-261,MFA Failure reported on Core Banking (T24),Write federal while real lead few yourself table blood high.,2023-06-21 13:13:11,2023-06-22 19:03:29.212568,Closed,Low,Access,MFA Failure,Core Banking (T24),Automated Alert
TKT-10082,EMP-794,Disk Failure reported on Internet Banking Portal,Fast recognize against stop how account ten sing wind treat seat strategy total.,2023-05-20 09:44:30,2023-05-20 11:08:43.718206,Closed,Medium,Hardware,Disk Failure,Internet Banking Portal,Automated Alert
TKT-10083,EMP-222,Account Locked reported on Core Banking (T24),Parent good PM per question return process stuff.,2023-10-29 06:25:47,2023-10-31 07:55:57.530054,Closed,High,Access,Account Locked,Core Banking (T24),Service Portal
TKT-10084,EMP-121,Permission Denied reported on HR Portal,Position final kid often run bed far section compare car much will most tree.,2023-11-11 10:24:30,,Open,Low,Access,Permission Denied,HR Portal,Email
TKT-10085,EMP-636,API Timeout reported on ATM Switch,Either station loss southern second full boy while.,2023-11-19 12:33:57,2023-11-21 03:19:38.613651,Closed,High,Software,API Timeout,ATM Switch,Phone
TKT-10086,EMP-878,MFA Failure reported on Email Server (Exchange),Team right woman whose source hand so add.,2023-02-24 15:57:01,2023-02-27 07:22:52.807516,Closed,Low,Access,MFA Failure,Email Server (Exchange),Automated Alert
TKT-10087,EMP-254,Latency High reported on Internet Banking Portal,Lawyer pull public once state wait board.,2023-07-28 09:12:59,2023-07-28 16:42:14.744640,Closed,Medium,Network,Latency High,Internet Banking Portal,Service Portal
TKT-10088,EMP-984,MFA Failure reported on Internet Banking Portal,Agent this no trip determine as statement travel few impact cause watch.,2023-11-24 16:50:40,,Open,Low,Access,MFA Failure,Internet Banking Portal,Email
TKT-10089,EMP-587,Latency High reported on Mobile Banking App,Break doctor Mr home he we recent music onto risk those pressure.,2023-04-29 04:53:00,2023-04-30 19:08:29.592371,Closed,Critical,Network,Latency High,Mobile Banking App,Phone
TKT-10090,EMP-795,Memory Leak reported on Internet Banking Portal,Past voice evidence real describe know door guy wonder happen top population.,2023-11-20 18:34:57,2023-11-20 21:41:51.722869,Closed,High,Hardware,Memory Leak,Internet Banking Portal,Email
TKT-10091,EMP-244,Account Locked reported on Internet Banking Portal,Every why we station begin deep police wife anything four writer.,2023-11-07 21:05:30,,Open,Low,Access,Account Locked,Internet Banking Portal,Email
TKT-10092,EMP-932,Switch Port Error reported on HR Portal,Day stop never only spend do similar small other everyone worker would music.,2023-11-02 15:10:03,2023-11-03 14:41:03.139055,Closed,High,Hardware,Switch Port Error,HR Portal,Service Portal
TKT-10093,EMP-179,Memory Leak reported on Mobile Banking App,Body term capital group small open administration enter.,2023-11-07 02:41:17,2023-11-07 03:59:28.417538,Closed,High,Hardware,Memory Leak,Mobile Banking App,Phone
TKT-10094,EMP-554,App Crash reported on ATM Switch,Moment second live sing message board mean war analysis situation term.,2023-02-19 05:28:30,2023-02-19 11:52:56.158300,Closed,High,Software,App Crash,ATM Switch,Phone
TKT-10095,EMP-265,Latency High reported on Core Banking (T24),Leader who article look husband rather make travel available.,2023-07-22 12:16:39,2023-07-22 16:42:10.504132,Closed,High,Network,Latency High,Core Banking (T24),Automated Alert
TKT-10096,EMP-950,Permission Denied reported on Core Banking (T24),Part assume every plan nature foot yes most law painting.,2023-02-01 09:01:18,2023-02-01 10:37:41.490248,Closed,Critical,Access,Permission Denied,Core Banking (T24),Email
TKT-10097,EMP-910,Account Locked reported on HR Portal,Table prepare shoulder result Democrat later direction.,2023-02-08 12:24:36,2023-02-08 12:53:13.329738,Closed,Low,Access,Account Locked,HR Portal,Automated Alert
TKT-10098,EMP-844,API Timeout reported on ATM Switch,Human role fine fine effort well rather listen before be it.,2023-05-12 15:04:17,2023-05-14 11:48:11.482003,Closed,Medium,Software,API Timeout,ATM Switch,Email
TKT-10099,EMP-648,API Timeout reported on Core Banking (T24),Speech news only no form business government program seek test.,2023-10-17 04:04:19,2023-10-18 21:39:15.473905,Closed,Medium,Software,API Timeout,Core Banking (T24),Automated Alert
TKT-10100,EMP-638,Switch Port Error reported on Mobile Banking App,Why outside goal official defense prevent.,2023-10-08 00:46:21,2023-10-09 03:57:21.319602,Closed,High,Hardware,Switch Port Error,Mobile Banking App,Automated Alert
TKT-10101,EMP-236,Data Sync Error reported on ATM Switch,Glass news boy everything difficult investment night.,2023-03-29 02:06:49,2023-03-29 21:31:38.121381,Closed,Medium,Software,Data Sync Error,ATM Switch,Automated Alert
TKT-10102,EMP-142,Permission Denied reported on Mobile Banking App,Party poor ago upon stop environment Congress reflect finally fund accept thank not.,2023-10-26 00:59:22,2023-10-26 14:48:38.414776,Closed,Low,Access,Permission Denied,Mobile Banking App,Email
TKT-10103,EMP-547,Permission Denied reported on Treasury System,Center plan air second Democrat information.,2023-06-05 15:34:51,2023-06-05 19:33:41.456861,Resolved,High,Access,Permission Denied,Treasury System,Phone
TKT-10104,EMP-205,Account Locked reported on Mobile Banking App,Have return since nothing be apply church pay.,2023-05-13 09:22:51,2023-05-13 10:29:19.990353,Closed,Medium,Access,Account Locked,Mobile Banking App,Automated Alert
TKT-10105,EMP-910,VPN Drop reported on Internet Banking Portal,Kitchen interest parent increase democratic mention generation book question.,2023-11-09 22:05:55,,Open,Low,Network,VPN Drop,Internet Banking Portal,Email
TKT-10106,EMP-229,Password Reset reported on Mobile Banking App,Money final determine worker area daughter war should share face build market.,2023-08-19 08:24:42,2023-08-19 15:54:44.964702,Closed,High,Access,Password Reset,Mobile Banking App,Phone
TKT-10107,EMP-126,Memory Leak reported on Mobile Banking App,Can mouth discover next property government however score.,2023-06-17 05:59:44,2023-06-17 11:12:08.394050,Closed,Medium,Hardware,Memory Leak,Mobile Banking App,Service Portal
TKT-10108,EMP-175,Memory Leak reported on Mobile Banking App,Least back fine investment identify policy.,2023-06-19 09:51:40,2023-06-19 14:15:03.919901,Closed,High,Hardware,Memory Leak,Mobile Banking App,Service Portal
TKT-10109,EMP-342,Packet Loss reported on Internet Banking Portal,If whom commercial way least ready gun.,2023-04-23 10:28:38,2023-04-23 16:46:02.977697,Closed,Low,Network,Packet Loss,Internet Banking Portal,Phone
TKT-10110,EMP-943,Switch Port Error reported on Mobile Banking App,During open model how financial fund four.,2023-06-19 14:26:55,2023-06-20 15:17:05.180516,Closed,Low,Hardware,Switch Port Error,Mobile Banking App,Automated Alert
TKT-10111,EMP-543,API Timeout reported on ATM Switch,Member box member town glass road.,2023-03-07 07:06:37,2023-03-07 14:30:04.438453,Closed,High,Software,API Timeout,ATM Switch,Phone
TKT-10112,EMP-729,Login Failure reported on Core Banking (T24),Door chair culture own set pretty concern.,2023-11-15 01:09:15,2023-11-15 14:40:05.793190,Closed,Medium,Software,Login Failure,Core Banking (T24),Service Portal
TKT-10113,EMP-371,Switch Port Error reported on Mobile Banking App,Management senior service large under north play person ten physical character attention kind field.,2023-10-28 03:27:58,2023-10-28 05:55:20.802692,Closed,High,Hardware,Switch Port Error,Mobile Banking App,Service Portal
TKT-10114,EMP-575,Firewall Block reported on Mobile Banking App,Argue medical financial later arm story baby ten talk past medical leg never.,2023-04-17 16:08:38,2023-04-19 10:33:33.401510,Closed,Medium,Network,Firewall Block,Mobile Banking App,Automated Alert
TKT-10115,EMP-353,Account Locked reported on HR Portal,Last special prepare focus little character.,2023-11-04 12:16:36,2023-11-07 07:25:12.096831,Closed,Low,Access,Account Locked,HR Portal,Phone
TKT-10116,EMP-610,MFA Failure reported on Core Banking (T24),Billion tonight gas research mean common easy just keep mission city.,2023-01-25 00:42:16,2023-01-25 09:12:12.051213,Resolved,Medium,Access,MFA Failure,Core Banking (T24),Phone
TKT-10117,EMP-581,API Timeout reported on Core Banking (T24),Hold simple quickly appear piece free form newspaper hit.,2023-05-25 19:13:56,2023-05-26 21:36:23.486879,Closed,Low,Software,API Timeout,Core Banking (T24),Service Portal
TKT-10118,EMP-561,Disk Failure reported on Email Server (Exchange),Their four old center glass whose recognize hot organization visit finally heavy social.,2023-04-08 20:46:15,2023-04-11 05:56:40.035592,Closed,Low,Hardware,Disk Failure,Email Server (Exchange),Email
TKT-10119,EMP-612,MFA Failure reported on ATM Switch,Prove stock school rate money position interest.,2023-11-12 19:25:53,2023-11-14 08:32:40.921645,Closed,Low,Access,MFA Failure,ATM Switch,Phone
TKT-10120,EMP-857,Permission Denied reported on Mobile Banking App,Guy Congress degree way main difficult.,2023-05-21 12:28:56,2023-05-21 21:20:56.897149,Closed,Medium,Access,Permission Denied,Mobile Banking App,Automated Alert
TKT-10121,EMP-993,Unhandled Exception reported on Mobile Banking App,Baby such big side strong this also.,2023-02-23 10:12:07,2023-02-25 07:27:57.444331,Closed,Low,Software,Unhandled Exception,Mobile Banking App,Automated Alert
TKT-10122,EMP-212,Account Locked reported on Mobile Banking App,Capital heavy class story side speak close join improve put down know expect.,2023-05-11 18:52:17,2023-05-12 09:31:28.440172,Closed,Medium,Access,Account Locked,Mobile Banking App,Automated Alert
TKT-10123,EMP-778,Permission Denied reported on Email Server (Exchange),Doctor dream whole six tough create question now key show sing.,2023-10-18 16:51:57,2023-10-21 07:15:48.310205,Closed,Low,Access,Permission Denied,Email Server (Exchange),Service Portal
TKT-10124,EMP-385,Firewall Block reported on Email Server (Exchange),Industry class current painting their appear lose he various represent middle by.,2023-07-15 07:25:48,2023-07-16 18:38:25.515992,Closed,Low,Network,Firewall Block,Email Server (Exchange),Phone
TKT-10125,EMP-656,API Timeout reported on ATM Switch,Evening town challenge join watch develop later glass.,2023-02-02 13:46:22,2023-02-02 16:35:11.452813,Closed,Critical,Software,API Timeout,ATM Switch,Email
TKT-10126,EMP-240,Disk Failure reported on Core Banking (T24),Apply maybe dog yes heart agreement us stuff practice social case.,2023-01-11 08:35:03,2023-01-12 13:00:33.591135,Closed,High,Hardware,Disk Failure,Core Banking (T24),Phone
TKT-10127,EMP-588,Latency High reported on Mobile Banking App,Receive catch relationship large accept bad eight strong nature road month book.,2023-04-22 09:54:35,2023-04-22 11:49:15.743194,Closed,High,Network,Latency High,Mobile Banking App,Email
TKT-10128,EMP-906,Latency High reported on Email Server (Exchange),Feeling answer information soldier lead book toward others administration.,2023-04-22 21:18:04,2023-04-22 23:41:30.070968,Closed,Critical,Network,Latency High,Email Server (Exchange),Email
TKT-10129,EMP-237,Memory Leak reported on Core Banking (T24),Drop century investment pass drive indicate professor beat window attack moment medical write.,2023-07-20 03:38:59,2023-07-20 19:10:44.087821,Resolved,Medium,Hardware,Memory Leak,Core Banking (T24),Phone
